a52dec 0.7.4-11
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alembic 1.8.3-2
alsa-card-profiles 1:0.3.45-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.2.0-1
archlinux-keyring 20220125-1
argon2 20190702-4
asar 3.1.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audacity 1:2.4.1-7
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bat 0.19.0-1
bc 1.07.1-4
binutils 2.38-3
binwalk 2.3.3-3
bison 3.8.2-1
blas 3.10.0-1
blender 17:3.0.1-2
blosc 1.21.1-2
bluez-libs 5.63-1
bochs 2.7-1
boost 1.78.0-1
boost-libs 1.78.0-1
botan 2.19.1-1
brotli 1.0.9-7
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.75-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
choosenim 0.8.2-1
clang 13.0.1-1
cmake 3.22.2-1
compiler-rt 13.0.1-1
confuse 3.3-3
coreutils 9.0-2
criterion 2.3.3-3
cross-mips-elf-binutils 2.37-1
cross-mips-elf-gcc 11.2.0-1
cryptsetup 2.4.3-2
cuda 11.6.0-1
cudnn 8.3.1.22-1
curl 7.81.0-2
cython 0.29.27-1
dav1d 0.9.2-1
davinci-resolve 17.4.3-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.15-1
diffutils 3.8-1
discord 0.0.16-1
dkms 3.0.3-1
dmenu 5.0-1
dnssec-anchors 20190629-3
double-conversion 3.2.0-1
e2fsprogs 1.46.5-2
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron 16.0.8-1
electron12 12.2.3-2
elfutils 0.186-5
embree 3.13.3-1
enchant 2.3.2-1
expat 2.4.4-1
faad2 2.10.0-1
fakeroot 1.27-1
faudio 22.02-1
feh 3.8-2
ffmpeg 2:4.4.1-1
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 97.0-1
flac 1.3.3-3
flameshot 11.0.0-4
flex 2.6.4-3
fmt 8.1.1-1
fontconfig 2:2.13.96-1
freeglut 3.2.2-1
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.2.0-3
gcc-libs 11.2.0-3
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-1
gd 2.3.3-3
gdb 11.2-1
gdb-common 11.2-1
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
geckodriver 0.30.0-1
gettext 0.21-1
gflags 2.2.2-4
ghc-libs 9.0.2-1
giflib 5.2.1-2
git 2.35.1-1
glew 2.2.0-2
glib-networking 1:2.70.1-1
glib2 2.70.4-1
glibc 2.35-2
glibmm 2.66.2-1
glslang 11.7.1-3
glu 9.0.2-2
gmp 6.2.1-1
gnome-desktop 1:41.3-1
gnome-keyring 1:40.0-1
gnu-netcat 0.7.1-8
gnupg 2.2.32-2
gnutls 3.7.3-1
go 2:1.17.7-1
gobject-introspection-runtime 1.70.0-5
google-glog 0.5.0-2
gpgme 1.17.0-2
gpm 1.20.7.r38.ge82d1a6-4
graphene 1.10.6-1
graphicsmagick 1.3.37-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsl 2.7.1-1
gsm 1.0.19-1
gspell 1.8.4-1
gst-libav 1.20.0-1
gst-plugins-base 1.20.0-1
gst-plugins-base-libs 1.20.0-1
gstreamer 1.20.0-1
gtest 1.11.0-3
gtk-update-icon-cache 1:4.6.1-2
gtk2 2.24.33-2
gtk3 1:3.24.31-3
gtkmm3 3.24.5-2
guile 2.2.7-2
gzip 1.11-1
handbrake 1.5.1-1
harfbuzz 3.4.0-1
harfbuzz-icu 3.4.0-1
haskell-aeson 1.5.6.0-82
haskell-aeson-pretty 0.8.9-33
haskell-ansi-terminal 0.11-214
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-151
haskell-asn1-parse 0.9.5-151
haskell-asn1-types 0.3.4-130
haskell-assoc 1.0.2-122
haskell-async 2.2.4-8
haskell-attoparsec 0.14.4-1
haskell-base-compat 0.12.0-1
haskell-base-compat-batteries 0.12.0-2
haskell-base-orphans 0.8.6-5
haskell-base16-bytestring 1.0.2.0-7
haskell-base64-bytestring 1.2.1.0-28
haskell-basement 0.0.12-4
haskell-bifunctors 5.5.11-47
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-151
haskell-blaze-markup 0.8.2.8-57
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-130
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.6.0.1-12
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-64
haskell-commonmark 0.2.1.1-5
haskell-commonmark-extensions 0.2.2.1-7
haskell-commonmark-pandoc 0.2.1.2-11
haskell-comonad 5.0.8-126
haskell-conduit 1.3.4.2-29
haskell-conduit-extra 1.3.5-206
haskell-connection 0.3.1-173
haskell-cookie 0.4.5-12
haskell-cryptonite 0.29-44
haskell-data-default 0.7.1.1-198
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-211
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-29
haskell-diff 0.4.1-2
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-129
haskell-dlist 1.0-133
haskell-doclayout 0.3.0.2-54
haskell-doctemplates 0.10.0.1-32
haskell-emojis 0.1.2-1
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.14.0-4
haskell-ghc-bignum-orphans 0.1-2
haskell-glob 0.10.2-17
haskell-haddock-library 1.10.0-97
haskell-hashable 1.3.5.0-11
haskell-hourglass 0.2.12-173
haskell-hslua 1.3.0.1-98
haskell-hslua-module-path 0.1.0.1-83
haskell-hslua-module-system 0.2.2.1-154
haskell-hslua-module-text 0.3.0.1-142
haskell-hsyaml 0.2.1.0-143
haskell-http 4000.3.16-131
haskell-http-client 0.7.10-10
haskell-http-client-tls 0.3.5.3-490
haskell-http-types 0.12.3-210
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-5
haskell-ipynb 0.1.0.1-277
haskell-jira-wiki-markup 1.4.0-40
haskell-juicypixels 3.3.6-17
haskell-memory 0.16.0-44
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-28
haskell-network 3.1.2.7-5
haskell-network-uri 2.6.4.1-62
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-types 1.22-138
haskell-pem 0.2.4-207
haskell-primitive 0.7.3.0-16
haskell-quickcheck 2.14.2-265
haskell-random 1.2.1-53
haskell-regex-base 0.94.0.2-2
